Johnson,Franklin,Fascicles,1st Publication Date,Note
0001,0001,NA,1955,
0002,-0001,NA,1955,
0003,0002,NA,1955,
0004,0003,F01.04.025,1896,
0005,0004,NA,1955,
0006,0024,F01.01.004,1891,
0007,0016,F01.03.016,1914,Multiple Fascicles
0008,0042,F02.01.001,1896,
0009,0043,F02.01.002,1955,
0010,0061,F02.05.020,1914,
0011,0038,F03.03.015,1914,
0012,0032,F03.04.019,1890,
0013,0035,F03.04.022,1890,
0014,0005,F02.02.011,1914,Multiple Fascicles
0015,0044,F02.01.003,1955,
0016,-0003,NA,1955,
0017,0066,F02.05.025,1945,
0018,"0021, 0022, 0023","F01.01.001, .002, .003",1891,
0019,0025,F01.01.005,1896,
0020,"0026, 0027","F01.01.006, .007",1945,
0021,0028,F01.01.008,1945,
0022,"0029, 0030, 0031","F01.01.009, .010, .011",1945,
0023,0012,F01.02.012,1896,
0024,0013,F01.02.013,1945,
0025,0015,F01.02.015,1896,
0026,0017,F01.03.017,1896,
0027,0018,F01.03.018,1891,
0028,0019,F01.03.019,1945,
0029,0020,F01.03.020,1945,
0030,0006,F01.04.021,1896,
0031,0007,F01.04.022,1896,
0032,0008,F01.04.023,1896,
0033,0009,F01.04.024,1896,
0034,0010,F01.04.026,1945,
0035,0011,F01.04.027,1945,
0036,0045,F02.01.004,1945,
0037,0046,F02.01.005,1896,
0038,0047,F02.01.006,1945,
0039,0050,F02.02.007,1945,
0040,0051,F02.02.008,1945,
0041,0057,F02.04.016,1891,
0042,0058,F02.04.017,1945,
0043,0059,F02.04.018,1945,
0044,0060,F02.04.019,1955,
0045,0062,F02.05.021,1896,
0046,0063,F02.05.022,1945,
0047,0064,F02.05.023,1896,
0048,0065,F02.05.024,1945,
0049,0039,F03.03.016,1890,
0050,0040,F03.03.017,1891,
0051,0041,F03.03.018,1945,
0052,0033,F03.04.020,1890,
0053,0034,F03.04.021,1891,
0054,0036,F03.04.023,1891,
0055,0037,F03.04.024,1945,
0056,0053,F02.02.010,1945,
0057,0055,F02.04.014,1896,
0058,0067,F03.01.001,1890,
0059,0145,F07.01.001,1914,
0060,0150,F07.03.011,1955,
0061,0151,F07.03.012,1914,
0062,0153,F07.03.014,1914,
0063,0155,F07.03.016,1914,
0064,0162,F07.04.018,1890,
0065,0164,F07.04.020,1914,
0066,0110,F05.01.001,1914,
0067,0112,F05.01.003,1890,
0068,0115,F05.01.006,1914,
0069,0099,F05.02.010,1914,
0070,0117,F05.03.015,1891,
0071,0105,F05.04.021,1891,
0072,0106,F05.04.022,1914,
0073,0136,F06.01.001,1891,
0074,0137,F06.01.002,1896,
0075,0141,F06.02.006,1914,
0076,0143,F06.02.008,1890,
0077,0144,F06.02.009,1891,
0078,0125,F06.03.013,1891,
0079,0128,F06.04.016,1891,
0080,0129,F06.04.017,1896,
0081,0082,F04.04.014,1914,
0082,0048,NA,1955,
0083,0088,F04.02.006,1891,
0084,0121,F05.03.019,1955,
0085,0087,F04.03.012,1955,
0086,0098,F05.02.009,1891,
0087,-0002,NA,1955,
0088,0078,F03.02.012,1891,
0089,0068,F03.01.002,1890,
0090,0069,F03.01.003,1890,
0091,0070,F03.01.004,1890,
0092,0071,F03.01.005,1896,
0093,0072,F03.01.006,1891,
0094,0073,F03.02.007,1890,
0095,0074,F03.02.008,1891,
0096,0075,F03.02.009,1935,
0097,0076,F03.02.010,1929,
0098,0077,F03.02.011,1890,
0099,0079,F03.02.013,1890,
0100,0147,F07.01.003,1929,
0101,0148,F07.01.004,1891,
0102,0149,F07.01.005,1955,
0103,0157,F07.02.006,1896,
0104,0158,F07.02.007,1955,
0105,0160,F07.02.009,1896,
0106,0161,F07.02.010,1890,
0107,0152,F07.03.013,1890,
0108,0156,F07.03.017,1891,
0109,0163,F07.04.019,1955,
0110,0111,F05.01.002,1945,
0111,0113,F05.01.004,1890,
0112,0114,F05.01.005,1945,
0113,0116,F05.01.007,1890,
0114,0097,F05.02.008,1945,
0115,0100,F05.02.011,1891,
0116,0101,F05.02.012,1945,
0117,0102,F05.02.013,1945,
0118,0103,F05.02.014,1945,
0119,0118,F05.03.016,1891,
0120,0119,F05.03.017,1945,
0121,0120,F05.03.018,1945,
0122,0104,F05.04.020,1890,
0123,0107,F05.04.023,1945,
0124,0108,F05.04.024,1891,
0125,0109,F05.04.025,1891,
0126,0138,F06.01.003,1890,
0127,0139,F06.01.004,1945,
0128,0140,F06.02.005,1891,
0129,0142,F06.02.007,1935,
0130,0122,F06.03.010,1890,
0131,0123,F06.03.011,1891,
0132,0126,F06.04.014,1891,
0133,0127,F06.04.015,1890,
0134,0092,F04.01.001,1890,
0135,0093,F04.01.002,1896,
0136,0094,F04.01.003,1890,
0137,0095,F04.01.004,1945,
0138,0096,F04.01.005,1891,
0139,0089,F04.02.007,1890,
0140,0090,F04.02.008,1891,
0141,0091,F04.02.009,1891,
0142,0085,F04.03.010,1891,
0143,0086,F04.03.011,1929,
0144,0081,F04.04.013,1935,
0145,0083,F04.04.015,1935,
0146,0084,F04.04.016,1891,
0147,0052,F02.02.009,1896,
0148,0146,F07.01.002,1896,
0149,0159,F07.02.008,1890,
0150,0154,F07.03.015,1891,
0151,0133,NA,1945,
