j_num,stanza,stanza_alt,rhyme
1,"2,38",,
2,RE,,
3,4R,,
4,6R,,
5,6R,,
6,RE,,
7,8R,,
8,"10,8",,
9,4R,,
10,4R,,
11,4R,,
12,4R,,
13,"4,4,4,1,5",,
14,"4,4,4,4,6,5",,
15,"4,6",,
16,RE,,
17,4R,,
18,"4,12,3",,
19,RE,,
20,"8,8",,
21,3,,
22,"7,12,2",,
23,"8,8,8,12",,
24,6R,,
25,RE,,
26,RE,,
27,4R,,
28,4R,,
29,4R,,
30,4R,,
31,4R,,
32,RE,,
33,RE,,
34,RE,,
35,RE,,
36,RE,,
37,4R,,
38,RE,,
39,4R,,
40,"3,3,5",,
41,RE,,
42,RE,,
43,"5,4,4",,
44,RE,,
45,4R,,
46,RE,,
47,4R,,
48,4R,,
49,4R,,
50,4R,,
51,"4,4,4,6",,
52,4R,,
53,4R,,
54,RE,,
55,RE,,
56,4R,,
57,6,,
58,"3,3,6,6",,
59,4R,,
60,3R,,
61,"5,4",,
62,5R,,
63,3R,,
64,6R,,
65,4R,,
66,5R,,
67,4R,,
68,4R,,
69,4R,,
70,4R,,
71,4R,,
72,4R,,
73,4R,,
74,4R,,
75,"5,4",,
76,4R,,
77,4R,,
78,7R,,
79,10R,,
80,RE,,
81,4R,,
82,5R,,
83,RE,,
84,RE,,
85,4R,,
86,4R,,
87,4,,
88,4R,,
89,3R,,
90,RE,,
91,4R,,
92,RE,,
93,RE,,
94,4R,,
95,4R,,
96,4R,,
97,4R,,
98,4R,,
99,4R,,
100,6R,,
101,4R,,
102,RE,,
103,6R,,
104,4R,,
105,4R,,
106,"3,3,6,6",,
107,4R,,
108,RE,,
109,RE,,
110,RE,,
111,4R,,
112,4R,,
113,4R,,
114,RE,,
115,RE,,
116,4R,,
117,4R,,
118,RE,,
119,4R,,
120,4R,,
121,6R,,
122,"3,3,3,3,3,3,4",,
123,RE,,
124,4R,,
125,4R,,
126,4R,,
127,4R,,
128,6R,,
129,6R,,
130,3R,,
131,4R,,
132,"4,3,3,3,3,3,3",,
133,4R,,
134,"4,4,2",,
135,RE,,
136,4R,,
137,"8,6",,
138,"11,6",,
139,4R,,
140,RE,,
141,4R,,
142,4R,,
143,3R,,
144,4R,,
145,4R,,
146,4R,,
147,4R,,
148,4R,,
149,4R,,
150,RE,,
151,RE,,
152,"4,4,6",,
153,4R,,
154,4R,,
155,5R,,
156,"7,6,6",,
157,6R,,
158,4R,,
159,6R,,
160,"6,5,4,4",,
161,RE,,
162,RE,,
163,4R,,
164,RE,,
165,4R,,
166,4R,,
167,4R,,
168,4R,,
169,4R,,
170,RE,,
171,4R,,
172,6R,,
173,4R,,
174,"3,4",,
175,4R,,
176,4R,,
177,"3,4",,
178,4R,,
179,"6,6,7",,
180,RE,,
181,4R,,
182,4R,,
183,4R,,
184,4R,,
185,RE,,
186,"7,8",,
187,4R,,
188,"4,4,6",,
189,RE,,
190,4R,,
191,4R,,
192,3R,,
193,4R,,
194,4R,,
195,"6,6,5",,
196,4R,,
197,RE,,
198,"4,5,4",,
199,4R,,
200,RE,,
201,4R,,
202,RE,,
203,4R,,
204,RE,,
205,4R,,
206,3R,,
207,"8,5",,
208,4R,,
209,RE,,
210,RE,,
211,RE,,
212,RE,,
213,4R,,
214,4R,,
215,"6,4,8",,
216,5R,,
217,"8,4",,
218,RE,,
219,4R,,
220,RE,,
221,RE,,
222,RE,,
223,"8,6",RE,
224,4R,,
225,3R,,
226,"5,2",RE,
227,RE,,
228,RE,,
229,"5,5,3","5,2,3,3",
230,"5,6,7",,
231,4R,RE,
232,"4,8,4",,
233,4R,,
234,4R,,
235,4R,,
236,4R,,
237,4R,,
238,RE,,
239,4R,,
240,"7,5,5","12,5",
241,4R,,
242,4R,,
243,"8,9",,
244,4R,,
245,4R,,
246,"5,4,7",,
247,"14,6,9",,
248,4R,,
249,4R,,
250,"6,4","6,2,2",
251,"5,4",,
252,"9,7",,
253,"7,8",,
254,4R,,
255,4R,,
256,"5,8",,
